name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize
penguin-bird,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1
pheasant-bird,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
pike-fish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
piranha-fish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
pitviper-reptile,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
platypus-mammal,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1
polecat-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
pony-mammal,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
porpoise-mammal,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
puma-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
pussycat-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1
raccoon-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
reindeer-mammal,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
rhea-bird,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1
seahorse-fish,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
seal-mammal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1
sealion-mammal,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1
seasnake-reptile,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0
skimmer-bird,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
skua-bird,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
slowworm-reptile,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
sole-fish,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
sparrow-bird,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
squirrel-mammal,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0
stingray-fish,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1
swan-bird,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1
termite-bug,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0
tortoise-reptile,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1
tuatara-reptile,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0
tuna-fish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
vampire-mammal,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0
vole-mammal,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0
vulture-bird,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1
wallaby-mammal,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1
wasp-bug,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0
wolf-mammal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
wren-bird,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
